1	   15.9073   43.6377		9.3017
2	   66.5256    1.2682		4.3583
3	   68.4203   22.9023		9.9024
4	   79.2409   26.3680		5.8911
5	   34.8624   51.1385		6.0698
6	   25.0075   21.5085		2.6911
7	   34.5003   34.6110		2.9395
8	   32.8633   74.7817		5.3678
9	   92.7486   41.3619		2.9755
10	   75.6072    5.5753		9.4319
11	   28.8239   39.0028		3.4986
12	   60.6180   47.4484		9.5779
13	   76.6029   82.5321		8.3344
14	   84.6152   30.3644		4.1464
15	   90.1981   82.1790		1.1945
16	   59.5707   56.5680		4.0691
17	    6.8536    5.4382		4.4596
18	   21.8043   26.0014		1.8396
19	   86.9408   58.9104		9.7233
20	   41.4218   47.9734		2.7104
21	   66.1209   19.8651		2.4816
22	   78.3485   23.9013		5.5633
23	   24.7886   78.0193		5.5741
24	   55.4425   61.7310		1.4633
25	   22.9585   14.4129		4.3031
26	    0.6913   71.6132		6.2632
27	   76.6639   40.1506		9.9528
28	    2.1833   46.2385		4.9162
29	   39.3103   70.7282		7.264
30	   25.2540   40.1211		1.1483
31	   20.4217    1.4385		2.3729
32	   66.2279    7.4640		9.0958
33	   91.4742   59.1068		1.4174
34	    0.6903   44.6002		1.2639
35	   74.6423   92.6621		6.17
36	   79.9671    9.4893		4.0636
37	   90.7799   37.5419		2.9737
38	   97.4574   54.5999		9.1359
39	   11.9863   11.1678		7.1478
40	   51.8970   90.4463		4.3448
41	   82.1975   63.3277		4.6101
42	   63.7023   90.5412		2.8447
43	   95.3910   63.0553		3.1393
44	   94.6926    1.4228		8.9592
45	   96.6605   31.6478		9.2912
46	    6.7344   11.1871		8.0348
47	   43.7535   62.9463		3.1772
48	   32.0840    6.0709		6.2524
49	   13.4052   67.3995		2.8167
50	   13.4585   47.7439		2.1436
51	   80.5948   30.5546		7.189
52	   52.4764   51.6333		9.1967
53	   94.4257   70.7028		7.7585
54	   98.8340   81.3611		8.4062
55	   40.9894   31.5808		3.0261
56	   37.1188   31.1302		4.4807
57	   22.6854   34.4977		4.7682
58	   44.6031   66.6305		9.4221
59	   26.6221   86.1072		1.95
60	   45.9096   76.1779		5.7816
61	   43.2905   87.5838		6.5907
62	   25.9623   87.1235		3.5231
63	   13.3715   17.2790		2.7799
64	   41.9228   85.0224		4.6755
65	   50.6861   95.9588		4.2634
66	   32.4325   77.0207		2.4571
67	   68.4689   87.5015		9.0417
68	   44.3094    6.7413		4.9643
69	   43.5663   64.6792		7.0328
70	   79.3024   32.4097		2.8938
71	   81.5556   64.0347		5.2403
72	   75.2113   87.9751		1.4492
73	   78.9256   37.3638		5.4634
74	   50.1267   76.6738		3.4275
75	   55.5182   16.8087		7.1576
76	   63.0750   51.9725		7.732
77	    9.7989   62.7456		4.5248
78	   24.5676   71.3914		6.0294
79	   61.5725   30.6396		7.5902
80	   30.4960   26.3687		6.5046
81	   76.6968   91.6004		6.2311
82	   26.7229   61.5034		1.6354
83	    3.9506    9.3175		4.3682
84	   29.6562   62.7697		1.3023
85	   55.6365   19.2028		4.6553
86	   96.9074   77.6965		6.9216
87	   68.9125   86.4501		6.1772
88	   71.7881   33.3582		9.7836
89	   55.9029   13.5414		4.9748
90	   53.3354   76.5467		8.0005
91	   87.5724   31.8614		6.1251
92	   39.3099   25.2380		1.1899
93	   45.8067   20.0075		5.6105
94	   20.8245    6.9010		4.668
95	   75.7273   55.1911		2.9785
96	   54.6692   40.3812		3.0741
97	   35.7388   75.0116		4.9469
98	   70.0998   48.7184		9.279
99	   10.9222   38.4786		3.8713
100	    0.6611    6.1409		3.559
101	   59.7302   21.3691		4.274
102	   65.9176   54.3873		5.4939
103	   58.0006   41.0645		8.3217
104	   90.9952   90.0963		3.1134
105	   63.6006    5.6290		1.2004
106	   52.5561   44.3509		3.7101
107	   25.9623   53.7813		3.6826
108	    5.1171   13.4061		8.4334
109	   73.1950   54.0947		2.2276
110	   16.4291   85.7368		8.3312
111	   28.0397   19.8017		8.7498
112	   25.9427   15.5609		5.9765
113	   54.7096    6.1378		1.1668
114	   54.1268   66.1074		5.5704
115	   78.8113    1.8603		7.4228
116	   86.9606   29.1103		7.2797
117	   78.7541   97.3824		9.0411
118	   96.9428   76.4640		7.3107
119	   18.0468   24.3684		9.4356
120	   93.0599   68.2116		1.098
121	    4.5152   13.7855		8.3777
122	   24.0646   62.9812		1.3084
123	    0.8855   85.7015		5.6454
124	   67.1594   89.9798		6.88
125	   90.4813   34.8368		7.7871
126	   57.2416   48.6310		3.52
127	   15.5461   67.9517		6.4275
128	   50.2367   70.4122		8.999
129	   56.7733   46.0884		6.7891
130	   18.8272   36.4272		8.0746
131	   32.4196   28.0265		5.4203
132	   71.6037    7.6204		4.6311
133	   55.2929   44.4625		8.897
134	   14.2282   16.5706		7.3736
135	   38.0364   39.8749		8.4384
136	   39.6569   92.0585		1.096
137	   57.6742   51.1334		1.86
138	    1.9402   91.4142		5.8896
139	   57.7580    9.1934		8.706
140	   93.2196   99.3037		3.3792
141	   10.6873    9.6434		7.9799
142	   73.2150   31.3147		6.7413
143	   97.0523   78.5375		7.5255
144	   60.8886   60.2400		9.0518
145	   71.9666   46.5908		7.9119
146	   30.2752   29.8131		2.8616
147	   45.9022   13.3173		1.3897
148	    4.8029   29.5009		2.3821
149	   38.5352   16.6627		7.4648
150	   36.1716   31.7104		2.1578
151	   28.7584   10.9840		2.9871
152	   81.6713   83.2088		5.082
153	   45.0528   97.1593		5.1873
154	   80.6633   21.8271		1.8081
155	   79.0173   70.6078		5.5606
156	   28.2958    3.9014		1.6886
157	    6.8309   61.6295		2.4987
158	    5.4931   66.9364		7.7294
159	   63.7523    3.7202		4.0111
160	   42.4286    0.3335		3.7455
161	   90.5531   14.2464		8.3699
162	   41.7321   86.2405		9.8384
163	   15.4058   27.6037		9.7207
164	   53.9999   53.1692		6.1896
165	   93.7091   52.2221		3.1013
166	   66.0955   56.7618		3.6289
167	   39.4657   33.3033		7.0639
168	   25.8991   41.3417		6.1636
169	   84.7912   41.4348		2.7973
170	   94.5056   98.3922		9.6238
171	   37.7000    5.7739		4.0254
172	    6.7280   39.6543		2.347
173	   18.1582   79.1321		3.9554
174	   57.5748   59.4185		2.0179
175	   18.5885   30.9563		7.9472
176	   29.1448   90.1803		8.1331
177	   46.1664    9.3127		6.2836
178	   34.6977   31.9027		1.7127
179	   31.8166   88.6962		2.7361
180	   45.9915   65.7432		7.9786
181	   23.5895   68.4517		4.1805
182	    2.7752   47.3949		8.5505
183	   65.8453   14.1244		2.205
184	   15.8804   95.0925		7.2833
185	   80.2663   88.2626		2.7131
186	   40.8580   43.7439		4.5713
187	   32.7392   83.4957		4.0505
188	   74.6015   32.5143		9.3042
189	   74.6352   36.7639		8.5456
190	   17.3955   79.4839		6.6657
191	   11.7545    9.9309		8.7894
192	   17.4038   95.1782		2.9466
193	   62.7409    0.1474		1.5841
194	   84.1890   29.5396		7.102
195	   51.0083    4.8455		5.8161
196	   16.5764   44.2740		5.6561
197	   71.4305   78.9846		3.3015
198	   90.7037   91.3521		8.6754
199	   21.8538   53.3254		8.4088
200	   87.0961   80.4076		1.1491
201	   21.1836   56.2660		5.2724
202	   83.6665   75.0876		9.4971
203	   85.9302    0.9230		5.1276
204	   52.3377   47.6785		8.6498
205	   47.7363   25.0330		5.82
