1	   93.1616   60.0345		1
2	   78.3102    8.4997		1
3	   68.5687   92.2358		1
4	   46.6219    5.3598		1
5	   26.0318   52.7025		1
6	   56.9268   11.8853		1
7	   24.8771   38.0143		1
8	   31.9302   81.2833		1
9	   91.0802   24.4096		1
10	   88.5220   88.4423		1
11	   79.4589   71.2647		1
12	   92.5810   37.8148		1
13	   17.8840   24.8920		1
14	   51.7541   25.2854		1
15	   62.7005   76.7244		1
16	   91.3182    4.9862		1
17	   66.3968   68.5289		1
18	   38.9193   62.0278		1
19	   74.0008   74.6685		1
20	   81.7635   97.7256		1
