1	65.93469887	13.98135569	2.8697
2	7.624418383	79.71713433	3.7112
3	6.57309535	62.81224934	5.2383
4	42.2126342	69.42651196	3.0744
5	38.81145347	92.45522545	8.5988
6	68.72630572	35.37365928	2.7529
7	32.26072789	47.22194486	3.0333
8	98.70393579	45.22644284	2.5364
9	95.52725042	40.01731864	3.049
10	9.299662479	19.10132855	4.9213
11	20.67216825	74.76034638	3.7999
12	63.53986925	49.9022749	9.3104
13	63.26674017	62.88597909	4.8719
14	80.94339451	60.78980457	2.6633
15	0.711122223	18.68621365	9.1439
16	49.99121492	84.89293192	9.8177
17	24.3640185	91.69859131	4.9498
18	79.47648823	71.42558635	2.0001
19	83.02036031	62.89234004	3.3226
20	81.14052566	38.76786466	4.6785
21	54.56467356	93.71106296	6.3541
22	21.43280333	75.51537377	3.3599
23	49.70631782	9.298577217	6.4256
24	15.38951598	7.564851352	7.4009
25	42.48338575	69.33621358	2.9957
26	88.30031484	33.29482428	2.0568
27	1.14935904	40.39691624	3.6701
28	90.2811532	50.22765922	3.869
29	3.132047242	61.13997931	4.8175
30	53.30813909	6.781646717	5.5707
31	30.16565562	90.03056794	1.7696
32	35.32484813	64.75437924	3.3623
33	9.264476356	35.12645583	8.2091
34	57.82326374	16.96964665	1.263
35	82.63125504	99.54404992	9.3597
36	41.64700663	99.87968598	7.573
37	29.96069385	93.40098198	5.3975
38	62.00148276	85.03747186	6.2067
39	40.61800976	57.5657264	3.1356
40	1.103037011	58.39010568	5.1296
41	25.73481038	22.94693507	9.6678
42	57.32678087	65.9794238	5.9213
43	6.210770937	9.764051607	5.6902
44	23.14104755	95.98456921	3.0843
45	24.52136996	87.91564375	5.4001
46	61.66641436	48.56270941	6.6165
47	63.31288495	13.91995181	7.1122
48	65.20972114	95.29131711	4.5596
49	24.08972346	71.15302704	4.3069
50	5.387470922	27.05744186	9.8918
51	11.83157538	61.71394558	1.3396
52	96.24301556	87.41574379	8.9665
53	63.21477954	56.47246007	9.2196
54	97.88911894	68.75787118	8.1657
