5,50
411.59,602.64
750.52,583.53
551.79,583.57
511.82,82.593
719.57,996.16
751.95,627.35
228.67,21.65
64.187,910.57
767.33,800.56
671.2,745.85
715.21,813.11
642.06,383.31
419.05,617.28
390.76,575.49
816.14,530.05
317.43,275.07
814.54,248.63
789.07,451.64
852.26,227.71
505.64,804.45
635.66,986.1
950.89,29.992
443.96,535.66
60.019,87.077
866.75,802.09
631.19,989.14
355.07,66.946
997,939.4
224.17,18.178
652.45,683.84
604.99,783.74
387.25,534.14
142.19,885.36
25.135,899
421.11,625.94
184.1,137.87
725.78,217.8
370.36,182.14
841.56,41.82
734.23,106.94
571.03,616.44
176.86,939.66
957.38,354.46
265.32,410.63
924.58,984.35
223.77,945.58
373.56,676.64
87.5,988.3
640.12,766.83
180.62,336.7
45.051,662.38
723.17,244.17
347.44,295.51
660.62,680.18
383.87,527.85
