5	50
193.04	341.64
932.9	390.67
273.22	151.95
397.11	374.72
131.11	435.04
68.357	188.79
436.33	1.1984
173.85	316.42
26.107	699.62
954.68	625.26
430.6	543.06
961.56	439.04
762.41	287.43
7.3487	501.66
680.04	761.55
705.95	762.41
645.13	576.06
552.31	747.66
218.11	645.53
772.37	123.22
228.03	504.4
370.86	347.26
890.93	92.148
856.38	147.85
402.43	198.17
318.02	672.27
608.64	431.51
910.2	694.4
909.1	256.78
591.59	9.7586
332.57	532.28
853.06	279.39
442.4	946.23
904.36	906.44
33.179	392.68
532.43	24.855
716.5	671.44
179.3	837.17
336.53	971.5
187.71	56.933
321.93	450.32
403.86	582.47
548.57	686.64
48.739	719.43
552.73	650.04
274.81	726.91
241.5	373.85
243.15	581.58
154.16	116.12
956.42	57.654
935.66	979.77
818.71	284.82
728.26	594.97
175.81	962.16
360.37	185.78
