9	3	239.99	239.99	376.8	276.5	276.5	144.18
9	3	191.12	191.12	232.78	232.78	232.78	227.83
9	3	592.63	592.63	836.41	345.39	345.39	592.63
9	3	89.178	89.178	177.37	89.178	89.178	89.178
9	3	139.38	139.38	264.34	243.53	243.53	157.53
9	3	261.2	261.2	152.18	152.18	152.18	261.2
9	3	638.88	355.25	595.99	273.33	273.33	355.25
9	3	318.14	318.14	387.85	387.85	387.85	232.04
9	3	53.673	53.673	463.56	399.44	399.44	53.673
9	3	98.03	98.03	180.25	124.82	124.82	98.03
9	3	395.97	309.13	884.41	271.71	271.71	210.96
9	3	56.798	56.798	132.63	132.63	132.63	178.62
9	3	372.63	372.63	736.47	355.07	355.07	372.63
9	3	186.69	186.69	322.21	186.69	186.69	186.69
9	3	544.89	544.89	737.02	535.29	535.29	544.89
9	3	260.36	204.1	491.25	491.25	491.25	204.1
9	3	285.65	285.65	139.41	139.41	139.41	289.91
9	3	151.25	151.25	231.59	231.59	231.59	175.24
9	3	218.98	218.98	227.47	168.12	168.12	218.98
9	3	481.44	417.86	143.23	143.23	143.23	53.314
9	3	141.8	141.8	617.18	71.236	71.236	357.81
9	3	229.69	229.69	508.53	116.66	116.66	205.9
9	3	339.34	339.34	854.33	303.35	303.35	286.29
9	3	128.79	128.79	543.88	68.662	68.662	128.79
9	3	336.45	336.45	336.45	336.45	336.45	336.45
9	3	224.04	224.04	996.42	198.19	198.19	50.235
9	3	239.08	239.08	230.33	230.1	230.1	254.56
9	3	194.09	194.09	241.9	224.81	224.81	194.09
